sample_name condition
MappingSTAR/SRR628582.bam SF3B1
MappingSTAR/SRR628583.bam SF3B1
MappingSTAR/SRR628584.bam SF3B1
MappingSTAR/SRR628585.bam WT
MappingSTAR/SRR628586.bam WT
MappingSTAR/SRR628587.bam WT
MappingSTAR/SRR628588.bam WT
MappingSTAR/SRR628589.bam WT
MappingSTAR/SRR636531.bam WT
MappingSTAR/SRR636532.bam WT
MappingSTAR/SRR636533.bam SF3B1
