"log2FoldChange"	"padj"
"ENSG00000276975"	4.3959259784526	0.0401080684380849
"ENSG00000116128"	1.60764491219669	0.0353600589560591
"ENSG00000223728"	21.1892804666097	2.85321381909123e-08
"ENSG00000229828"	6.55120233085743	0.0464120687029341
"ENSG00000014914"	3.36217846249487	0.0436595078015675
"ENSG00000163157"	3.96013622739302	0.0413205812428948
"ENSG00000143375"	3.30875710944912	0.0208747672736939
"ENSG00000229021"	6.25754720412252	0.047273932486102
"ENSG00000182898"	24.2708822888792	2.43138637348089e-09
"ENSG00000163202"	21.0325463257234	3.46330716175715e-08
"ENSG00000187223"	20.8832012445471	4.22440270665261e-08
"ENSG00000187180"	20.9751699288995	3.75575269652738e-08
"ENSG00000159455"	20.2579068496405	1.18409542480211e-07
"ENSG00000198854"	20.2873304880777	1.13382839931113e-07
"ENSG00000163207"	22.5406708107714	6.09871747614061e-09
"ENSG00000184148"	20.4557010728956	8.45224504922758e-08
"ENSG00000163209"	21.5510597032437	1.83046582924972e-08
"ENSG00000169469"	20.7764108418154	4.95719045577794e-08
"ENSG00000163216"	22.7302250428415	5.4646478433304e-09
"ENSG00000241794"	21.5390155277285	1.85575256098062e-08
"ENSG00000196805"	22.428604292052	6.6128993708379e-09
"ENSG00000229035"	22.1743759180757	9.1452775545053e-09
"ENSG00000159516"	21.297745633017	2.4427330766141e-08
"ENSG00000203784"	21.3132100021343	2.39168478782981e-08
"ENSG00000143595"	23.0785191903381	5.07577172023855e-09
"ENSG00000163239"	3.36647166114964	0.0383129150915627
"ENSG00000160716"	4.50540654767161	0.00143122735982082
"ENSG00000163357"	4.5741947558381	0.0306437212342577
"ENSG00000187800"	3.70767767251025	0.0259157269188743
"ENSG00000233712"	20.8874428580292	4.19780589037096e-08
"ENSG00000158485"	23.3604487719664	4.78148815987686e-09
"ENSG00000186306"	22.0388229688655	1.06433597343424e-08
"ENSG00000180708"	22.8742049073021	5.2755260196566e-09
"ENSG00000236257"	7.78206126398231	0.0221969079936496
"ENSG00000173285"	23.1668885273984	4.9192359369942e-09
"ENSG00000231434"	6.1934082940601	0.0238425058246414
"ENSG00000197532"	22.4907726456668	6.24086408623956e-09
"ENSG00000186440"	20.3117965499775	1.09005796327103e-07
"ENSG00000279111"	20.6776086278474	5.77799947671893e-08
"ENSG00000198967"	22.9673647238244	5.14879900974307e-09
"ENSG00000196171"	22.4989042129104	6.22769086765689e-09
"ENSG00000179639"	6.37165337593247	0.0136994135935505
"ENSG00000196266"	21.8702823961919	1.26238985693813e-08
"ENSG00000184155"	21.9816322160196	1.12249168451589e-08
"ENSG00000132703"	22.7037416516344	5.4646478433304e-09
"ENSG00000132693"	22.1057523202475	9.93563548285465e-09
"ENSG00000213085"	5.76165695761108	0.0345811353562575
"ENSG00000162723"	22.4619518197122	6.40618945919856e-09
"ENSG00000018625"	5.4085599786319	0.0259157269188743
"ENSG00000143318"	5.22036184514162	0.0363064423295925
"ENSG00000158764"	6.49341680640324	0.0104307988970562
"ENSG00000185630"	0.962182247132871	0.0437205613916188
"ENSG00000143194"	4.01694231296939	0.0465439123944261
"ENSG00000227776"	21.2073879440559	2.78698330746587e-08
"ENSG00000143156"	1.88151268578284	0.044927327317035
"ENSG00000226967"	21.7169919325997	1.5272632431385e-08
"ENSG00000180999"	23.4419633925784	4.65233130239383e-09
"ENSG00000120332"	5.22330482164477	0.033586672600665
"ENSG00000152092"	6.21964552808399	0.0390402583368862
"ENSG00000116218"	21.7727481404271	1.41025142552812e-08
"ENSG00000162782"	5.07211402466026	0.0247254850380017
"ENSG00000135835"	1.48647021841737	0.0295418650500558
"ENSG00000179930"	22.9874139218692	4.41213528297485e-10
"ENSG00000203730"	5.46891994716984	0.0200715023224931
"ENSG00000135824"	24.3017729609897	2.43138637348089e-09
"ENSG00000135862"	1.3249877699329	0.0415146036660902
"ENSG00000198756"	4.21849049026522	0.0347712017998875
"ENSG00000116690"	6.18577172011896	0.0155749462320732
"ENSG00000162687"	5.6246003140534	0.0297884341782015
"ENSG00000116785"	5.66523426233986	0.0219406071276247
"ENSG00000285986"	21.5049297287963	1.93820797853301e-08
"ENSG00000134365"	23.307373671295	4.78148815987686e-09
"ENSG00000080910"	21.8544423476802	1.27351115817855e-08
"ENSG00000143278"	24.1579856696507	2.53936592192629e-09
"ENSG00000237861"	9.46218459204777	0.00708201753758382
"ENSG00000151418"	23.1919736778654	4.9192359369942e-09
"ENSG00000233827"	22.1278976467635	9.67582875038448e-09
"ENSG00000133056"	4.4819728561356	0.0436595078015675
"ENSG00000184144"	5.83041204156035	0.0237783578452028
"ENSG00000133069"	1.4668312469132	0.0325223450712019
"ENSG00000133065"	1.13465204424617	0.0248901970904986
"ENSG00000230937"	21.4343659134643	2.05284715264158e-08
"ENSG00000042781"	5.81209141767725	0.0270812706218056
"ENSG00000196482"	4.46357578202229	0.0259157269188743
"ENSG00000215817"	2.37391542426173	0.0456978974709587
"ENSG00000136628"	0.95108724635101	0.0413205812428948
"ENSG00000230318"	22.0377068639006	1.06433597343424e-08
"ENSG00000116141"	1.99834668675468	0.00992778903379627
"ENSG00000234754"	8.79251380686652	0.030541929220341
"ENSG00000178395"	22.0006051668456	1.109374911023e-08
"ENSG00000181201"	21.4816487681436	1.99867268147012e-08
"ENSG00000143674"	3.32610447912261	0.0458624529708036
"ENSG00000244020"	20.8989319081421	4.12701204119684e-08
"ENSG00000215805"	21.8695831288827	1.26259975879197e-08
"ENSG00000162843"	5.3267969198284	0.0314465305258032
"ENSG00000203664"	23.0379451799702	5.12862894661485e-09
