"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000115524" 6237.29068014761 0.000359729605410585 0.348284217461703 0.00103286220671237 0.999175895338354 0.999886261443586
"ENSG00000163930" 2643.84173017087 -0.10497169618073 0.373983271962581 -0.28068553876718 0.778951601435813 0.986161638327866
"ENSG00000114861" 178.914732641474 -1.51579328474875 0.63051011701784 -2.40407448482838 0.0162134693760025 0.357626567244886
"ENSG00000114770" 5874.4637359719 0.606266020420689 0.481991440029158 1.257835658625 0.208451196749705 0.845016211993421
"ENSG00000185010" 339.674929238334 -0.496638281209717 0.65089925679336 -0.763003300474476 0.445461427523075 0.944306497175931
"ENSG00000156052" 1968.24400625432 0.0872281632867846 0.368432200559265 0.236754993603642 0.812846868822945 0.988123352999085
"ENSG00000148848" 1137.36971593112 0.020915929541945 0.537445821734528 0.0389172800235788 0.968956339538702 0.998208540384307
"ENSG00000141013" 450.559287922708 -0.0553112972248856 0.456075132537834 -0.121276722361742 0.903471856776961 0.995309209001474
"ENSG00000245694" 658.018340410326 0.142023377211809 0.562937695965804 0.252289690723493 0.800817156078426 0.987615240134753
"ENSG00000089057" 1746.61017529788 -0.321085548077904 0.524226623324764 -0.612493783779058 0.540211109529841 0.960339398600532
"ENSG00000101019" 1417.25678097683 0.92493615927846 0.278239900650566 3.32423982727073 0.000886599158801695 0.096089005383232
"ENSG00000088256" 1346.18401638347 -0.15186897008355 0.393655324222137 -0.385791733882029 0.699650917701942 0.979928422510173
"ENSG00000228315" 234.396990687459 0.428189922976523 0.573811778553052 0.746220170063892 0.455534425723367 0.946467860224413
