"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000143153" 276.454173476321 -2.73172171371884 0.540161807731078 -5.05722854637447 4.25393317410276e-07 0.00167126399577562
"ENSG00000115461" 796.87706359514 -3.32025289808956 0.730399438221681 -4.54580428782017 5.47258708329721e-06 0.00661551584723197
"ENSG00000135318" 481.834354423165 -3.59616259529888 0.725396987876157 -4.95750968835404 7.14024827936724e-07 0.00224418003420512
"ENSG00000146926" 119.348920813699 5.7728441927608 1.21495553156983 4.75148599496625 2.01927147547818e-06 0.00457860688803523
"ENSG00000248746" 24.1941091954349 2.57841413992231 0.553788841995026 4.65595177149753 3.2248742453175e-06 0.0052232830957397
"ENSG00000261594" 10.4470109174048 -6.66719899789977 1.50059865766843 -4.44302609750365 8.8702401842703e-06 0.00995684460684341
"ENSG00000168209" 1039.46672144364 -2.8241923972859 0.607388940365615 -4.64972641020742 3.32375634472778e-06 0.0052232830957397
"ENSG00000256546" 67.4610058909263 3.77912360415658 0.659533758515185 5.72999267340698 1.00434972379132e-08 7.89167795469033e-05
"ENSG00000227879" 41.3066479484187 2.60683592051092 0.57164547018049 4.56023192082295 5.10971560525317e-06 0.00661551584723197
"ENSG00000140092" 229.109525436027 -3.05921182235463 0.596873432645812 -5.12539452257709 2.96915353046981e-07 0.00155534159104443
"ENSG00000291062" 32.4863155067894 4.11336263664461 0.866067066578599 4.74947356316696 2.03946854700901e-06 0.00457860688803523
"ENSG00000266302" 149.376185107449 7.60667743267937 1.18345190939776 6.42753404027233 1.29690560207375e-10 2.03808715365889e-06
"ENSG00000198795" 322.117290369631 -3.50146764143165 0.765249328057114 -4.57559061217538 4.74878370184318e-06 0.00661551584723197
"ENSG00000124225" 180.502776946582 -1.74791495852051 0.371506719165029 -4.70493498058122 2.53946874229405e-06 0.00498846891064388
